source_row,program,degree_confer_date,outcome_raw,outcome_report,known_outcome,positive_outcome,employer_raw,employer_report,role_raw,role_report,school_raw,school_report,degree_raw,degree_report,location_raw,state_raw,state_report,has_linkedin,has_li_lookup_date,has_survey_timestamp,has_interaction,has_doc_review_signal,cleanup_flags
558,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,False,
559,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T559,2)",,True,False,True,True,True,
560,Undergraduate,2026-05-01 00:00:00,Working,Working,True,True,Marriott International,Marriott International,Software Engineer,Software Engineer,,,,,MD,MD,MD,True,False,True,True,True,
561,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
562,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
563,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,False,False,False,False,False,
564,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,True,True,
565,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Travelers,Travelers,Data Engineer,Data Engineer,,,,,"Hartford, CT",CT,CT,True,False,True,True,False,
566,Undergraduate,2026-05-01 00:00:00,Working,Working,True,True,Fidelity,Fidelity Investments,LEAP SWE,LEAP SWE,,,,,,"=RIGHT(T566,2)",,True,False,True,True,False,working_missing_state
567,Undergraduate,2026-01-01 00:00:00,Working,Working,True,True,Fidelity Investments,Fidelity Investments,Associate Software Engineer,Associate Software Engineer,,,,,,"=RIGHT(T567,2)",,True,False,True,True,True,working_missing_state
568,MS,2026-05-01 00:00:00,Unknown,Unknown,False,False,Umass Amherst,Umass Amherst,Roboticist,Roboticist,,,,,"Houston, TX",TX,TX,True,False,True,False,False,
569,MS,2026-05-01 00:00:00,Searching,Looking,True,False,,,,,,,,,,"=RIGHT(T569,2)",,True,True,True,True,False,
570,MS,2026-05-01 00:00:00,Searching,Looking,True,False,#N/A,,#N/A,,#N/A,,,,#N/A,,,True,False,False,False,False,
